,eventID,account_admin,account_dcadmin,account_user103,process_c:\windows\system32\hostname.exe,process_c:\windows\system32\ipconfig.exe,process_c:\windows\system32\netsh.exe,process_c:\windows\system32\netstat.exe,process_c:\windows\system32\ping.exe,process_c:\windows\system32\services.exe,process_c:\windows\system32\wbem\wmic.exe,process_c:\windows\system32\wbem\wmiprvse.exe,objectname_psexesvc,target_train
24556,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24558,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24559,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24561,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24562,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24564,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24565,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24567,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24568,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24570,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24571,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24573,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24574,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24576,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24577,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24579,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24580,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24582,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24583,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24585,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24586,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24588,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24589,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24591,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24592,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24594,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24595,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24597,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24598,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24600,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24601,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24603,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24604,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24606,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24607,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24609,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24610,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24612,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24613,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24615,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24616,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24618,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24619,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24621,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24622,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24624,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24625,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24627,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24628,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24630,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24631,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24633,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24634,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
