,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
1958,2019-06-02T22:20:03.986Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1959,2019-06-02T22:20:10.772Z,4672,dc$,,,,,,
1960,2019-06-02T22:20:16.045Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1961,2019-06-02T22:21:10.785Z,4672,dc$,,,,,,
1962,2019-06-02T22:21:26.089Z,4672,dc$,,,,,,
1963,2019-06-02T22:21:26.104Z,4672,dc$,,,,,,
1964,2019-06-02T22:22:10.798Z,4672,dc$,,,,,,
1965,2019-06-02T22:22:30.189Z,4672,dc$,,,,,,
1966,2019-06-02T22:22:32.997Z,4672,dc$,,,,,,
1967,2019-06-02T22:22:32.997Z,4672,dc$,,,,,,
1968,2019-06-02T22:22:32.997Z,4672,dc$,,,,,,
1969,2019-06-02T22:22:32.997Z,4672,dc$,,,,,,
1970,2019-06-02T22:22:32.997Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
1971,2019-06-02T22:22:32.997Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1972,2019-06-02T22:22:33.512Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1973,2019-06-02T22:22:33.512Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1974,2019-06-02T22:22:33.512Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1975,2019-06-02T22:23:10.812Z,4672,dc$,,,,,,
1976,2019-06-02T22:23:30.000Z,4688,dc$,::1,,c:\windows\system32\taskeng.exe,,,s-1-5-18
1977,2019-06-02T22:23:30.109Z,4673,dc$,::1,,c:\windows\system32\lsass.exe,,,
1978,2019-06-02T22:23:30.109Z,4688,dc$,::1,,c:\program files (x86)\google\update\googleupdate.exe,,,s-1-5-18
1979,2019-06-02T22:24:10.825Z,4672,dc$,,,,,,
1980,2019-06-02T22:25:10.838Z,4672,dc$,,,,,,
1981,2019-06-02T22:25:42.397Z,4672,dc$,,,,,,
1982,2019-06-02T22:25:42.397Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
1983,2019-06-02T22:32:40.198Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1984,2019-06-02T22:33:10.945Z,4672,dc$,,,,,,
1985,2019-06-02T22:25:42.397Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1986,2019-06-02T22:26:10.852Z,4672,dc$,,,,,,
1987,2019-06-02T22:26:26.265Z,4672,dc$,,,,,,
1988,2019-06-02T22:26:26.280Z,4672,dc$,,,,,,
1989,2019-06-02T22:27:10.865Z,4672,dc$,,,,,,
1990,2019-06-02T22:27:36.340Z,4672,dc$,,,,,,
1991,2019-06-02T22:27:36.340Z,4672,dc$,,,,,,
1992,2019-06-02T22:27:36.340Z,4672,dc$,,,,,,
1993,2019-06-02T22:27:36.340Z,4672,dc$,,,,,,
1994,2019-06-02T22:33:16.452Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
1995,2019-06-02T22:27:36.340Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
1996,2019-06-02T22:27:36.855Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1997,2019-06-02T22:27:36.855Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1998,2019-06-02T22:27:36.855Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
1999,2019-06-02T22:28:10.878Z,4672,dc$,,,,,,
2000,2019-06-02T22:29:10.892Z,4672,dc$,,,,,,
2001,2019-06-02T22:33:28.511Z,5140,anonymous logon,10.0.19.109,,,,\*\ipc$,s-1-5-7
2002,2019-06-02T22:34:10.958Z,4672,dc$,,,,,,
2003,2019-06-02T22:34:34.390Z,4672,dc$,,,,,,
2004,2019-06-02T22:35:10.972Z,4672,dc$,,,,,,
2005,2019-06-02T22:35:42.406Z,4672,dc$,,,,,,
2006,2019-06-02T22:29:10.907Z,4769,dc$,::1,,,,,
2007,2019-06-02T22:29:44.900Z,4672,system,,,,,,
2008,2019-06-02T22:29:44.900Z,4688,dc$,::1,,c:\windows\servicing\trustedinstaller.exe,,,s-1-5-18
2009,2019-06-02T22:30:10.905Z,4672,dc$,,,,,,
2010,2019-06-02T22:31:10.918Z,4672,dc$,,,,,,
2011,2019-06-02T22:31:26.425Z,4672,dc$,,,,,,
2012,2019-06-02T22:31:26.440Z,4672,dc$,,,,,,
2013,2019-06-02T22:35:42.406Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2014,2019-06-02T22:36:10.985Z,4672,dc$,,,,,,
2015,2019-06-02T22:36:26.585Z,4672,dc$,,,,,,
2016,2019-06-02T22:36:26.601Z,4672,dc$,,,,,,
2017,2019-06-02T22:37:10.998Z,4672,dc$,,,,,,
2018,2019-06-02T22:37:43.025Z,4672,dc$,,,,,,
2019,2019-06-02T22:37:43.025Z,4672,dc$,,,,,,
2020,2019-06-02T22:37:43.025Z,4672,dc$,,,,,,
2021,2019-06-02T22:37:43.025Z,4672,dc$,,,,,,
